,Date,Hits,False Alarms,Misses,Correct Negatives,POD,FAR,Accuracy
0,20190101,2629217,2955841,1889095,34543821,0.5819024892481971,0.5292408780714543,0.884693726546644
1,20190103,2080140,2966143,1515663,34156665,0.5784910908634316,0.587787684519477,0.8899322474433128
2,20190104,1767008,3343693,1817717,33151150,0.4929270725090488,0.6542533010637875,0.871220917351205
3,20190105,1851853,2666898,1564587,35110190,0.5420417159382281,0.5901847656575899,0.89727791705532
4,20190106,1963124,1715268,1336055,31718668,0.595034097877078,0.46630919162503615,0.9169326369408094
5,20190107,2508983,2615531,1478893,32452076,0.629152711869677,0.5103959126660597,0.8951639133486071
6,20190108,1669805,1868342,849367,26867563,0.6628388216445721,0.5280566352952548,0.9130474386609254
7,20190109,2089059,2339088,1349771,34107977,0.6074912106733976,0.5282317863431363,0.9075146991185731
8,20190110,2015502,2608059,1388660,35450121,0.592069942617302,0.5640801538035294,0.9036060481098728
9,20190111,1804125,2454255,1406072,36821142,0.5619982200469317,0.5763353669705381,0.9091379774518393
10,20190112,2274852,2073724,2175642,37117572,0.5111459536851415,0.4768742687261301,0.9026308040985487
11,20190113,2318840,2093886,2334775,35506910,0.4982878901671067,0.4745107672672176,0.8951905636549993
12,20190114,2737744,2260098,2109863,33774792,0.5647619536814762,0.45221477589727727,0.8931092442812385
13,20190115,2017153,2408713,1862257,32117019,0.5199638604839396,0.5442354106518362,0.8887917144011601
14,20190116,2007642,2037541,1936897,36396989,0.5089674610898764,0.503695630086451,0.906216958187543
15,20190117,2826541,2064588,1550536,35936026,0.6457599443646982,0.42210867879379177,0.9146927566204587
16,20190118,2446446,1831567,1985999,31572945,0.5519405204125488,0.4281349776169451,0.8991048355183531
17,20190119,3179621,3049810,2345550,34260903,0.5754792023631485,0.4895808300950761,0.8740457883395146
18,20190120,3113566,3090061,1653388,33913684,0.6531562922570682,0.4981055437407826,0.8864407559950098
19,20190121,2588008,2581054,2487626,36064200,0.5098886168703259,0.49932734411001456,0.8840673135458731
20,20190122,3114624,2435746,1830467,37091553,0.6298415944216194,0.4388438968933603,0.904070525555294
